,1,3,10,30
Korea,70426584293,14334369686,2730322775,749006517.4
Gemany,70426584293,10635281051,537591848.5,49364601.77
Canada,57718744060,8431909293,1660216054,168398201.4
India,54014491019,5127156137,51029220,402659.7983
Japan,88830001774,17490344107,2822391685,613855065
Japanet,48899048840,5300048398,120866105,7454662.456
Romania,19320049307,4064933994,373264305.2,14470842.85
France,1.19726E+11,17490344107,1553667298,124941817.4
