,1,3,10,30
Korea,3.37113E+11,1.61489E+11,46539497530,19359537433
Gemany,3.59459E+11,1.51449E+11,24496368846,3209276762
Canada,1.89193E+11,47700716970,10299000813,2254743102
India,4.08695E+11,1.61479E+11,39640149060,11219181615
Japan,4.22023E+11,1.72193E+11,40932904397,11585064621
Japanet,3.71182E+11,93585342397,7235773902,1043763951
Romania,1.0964E+11,36900024028,7967037009,350537671.6
France,69959754185,43322455082,9658741164,1920483834
