,1,3,10,30
Korea,13601099170,1619519873,180433714.4,28979698.5
Gemany,2113049872,362716061.4,125162123.9,46159375.85
Canada,16604148410,2258346692,362716061.4,105991431.6
India,7231123455,260113237.7,81235768.33,29959481.72
Japan,4391362390,1241260159,428320591,163303837.3
Japanet,3365703174,659925005.7,138291097.7,40410869.49
Romania,13156294122,2756977444,442801808.8,163303837.3
France,69367370914,9753706321,1200666470,199360442.6
