,1,3,10,30
France,70.1,150,312,542
Romania,185,400,916,1.10E+03
Germany,597,1.28E+03,1.29E+03,1.31E+03
Japan,776,995,1.04E+03,995
Canada,175,459,1.08E+03,1.99E+03
India,447,4.55E+03,5.08E+03,5.01E+03
Korea,198,589,1.99E+03,6.00E+03
Dmitte,200,600,2000,6000
