,1,3,10,30
France,117,398,1.55E+03,5.42E+03
Romania,75.4,144,362,848
Germany,36.9,96.6,294,781
Japan,34,92.7,271,719
Canada,38.5,106,282,593
India,37.9,103,290,814
Korea,35.9,98,320,770
Dmitte,38.13850357,105.2469623,282.8427125,600
