,1,3,10,30
France,9.79,17,30.7,53.9
Romania,64.2,105,196,195
Germany,12.2,24.7,49.7,93.7
Japan,13.5,26.8,49.7,75.1
Canada,15,29.9,55.6,88.6
India,14.2,25.3,44.5,65.4
Korea,13.1,25.7,39.3,46.3
Dmitte,12.30769231,25.26315789,40,48
