,1,3,10,30
France,117,405,1.65E+03,5.72E+03
Romania,236,582,1.46E+03,3.53E+03
Germany,186,507,1.48E+03,2.64E+03
Japan,165,457,1.39E+03,3.85E+03
Canada,209,602,1.59E+03,3.41E+03
India,249,592,1.65E+03,4.27E+03
Korea,209,534,1.46E+03,4.20E+03
Dmitte,209.7617696,578.8582927,1555.634919,3300
