,1,3,10,30
France,37.1,80,182,339
Romania,85.6,162,363,784
Germany,27.5,57.1,123,249
Japan,31.9,70.9,149,266
Canada,47.9,102,217,378
India,29.9,65.4,134,242
Korea,31.1,73.8,130,285
Dmitte,37.94733192,76.75225789,150,265.3955211
